grafana  | Grafana server is running with elevated privileges. This is not recommended
grafana  | logger=migrator t=2025-01-06T19:38:07.119384198Z level=info msg="Executing migration" id="create temp_user v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.120125746Z level=info msg="Migration successfully executed" id="create temp_user v2" duration=746.803µs
grafana  | logger=migrator t=2025-01-06T19:38:07.12221757Z level=info msg="Executing migration" id="create index IDX_temp_user_email - v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.122746607Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_email - v2" duration=530.023µs
grafana  | logger=migrator t=2025-01-06T19:38:07.124698777Z level=info msg="Executing migration" id="create index IDX_temp_user_org_id - v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.125282168Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_org_id - v2" duration=582.478µs
grafana  | logger=migrator t=2025-01-06T19:38:07.127683577Z level=info msg="Executing migration" id="create index IDX_temp_user_code - v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.128102474Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_code - v2" duration=418.961µs
grafana  | logger=migrator t=2025-01-06T19:38:07.131043731Z level=info msg="Executing migration" id="create index IDX_temp_user_status - v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.131501181Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_status - v2" duration=457.142µs
grafana  | logger=migrator t=2025-01-06T19:38:07.133623203Z level=info msg="Executing migration" id="copy temp_user v1 to v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.133879479Z level=info msg="Migration successfully executed" id="copy temp_user v1 to v2" duration=255.848µs
grafana  | logger=migrator t=2025-01-06T19:38:07.135615205Z level=info msg="Executing migration" id="drop temp_user_tmp_qwerty"
grafana  | logger=migrator t=2025-01-06T19:38:07.135965954Z level=info msg="Migration successfully executed" id="drop temp_user_tmp_qwerty" duration=350.72µs
grafana  | logger=migrator t=2025-01-06T19:38:07.138012622Z level=info msg="Executing migration" id="Set created for temp users that will otherwise prematurely expire"
grafana  | logger=migrator t=2025-01-06T19:38:07.138265086Z level=info msg="Migration successfully executed" id="Set created for temp users that will otherwise prematurely expire" duration=253.456µs
grafana  | logger=migrator t=2025-01-06T19:38:07.140153447Z level=info msg="Executing migration" id="create star table"
grafana  | logger=migrator t=2025-01-06T19:38:07.140527027Z level=info msg="Migration successfully executed" id="create star table" duration=373.535µs
grafana  | logger=migrator t=2025-01-06T19:38:07.143485181Z level=info msg="Executing migration" id="add unique index star.user_id_dashboard_id"
grafana  | logger=migrator t=2025-01-06T19:38:07.14393637Z level=info msg="Migration successfully executed" id="add unique index star.user_id_dashboard_id" duration=451.018µs
